prefix_len,k,wrong,right,n_candidates,recall,top1,top2,top3,rr,testset,dict_size
7,2,arrainged,arranged,13,1,0,0,0,0.0,testset1,20000
3,2,poartry,poetry,10012,1,0,0,0,0.0,testset1,20000
4,2,poartry,poetry,2445,1,0,0,0,0.0,testset1,20000
5,2,poartry,poetry,453,1,0,0,0,0.0,testset1,20000
6,2,poartry,poetry,68,1,0,0,0,0.0,testset1,20000
7,2,poartry,poetry,8,1,0,0,1,0.3333333333333333,testset1,20000
3,2,poertry,poetry,9228,1,1,1,1,1.0,testset1,20000
4,2,poertry,poetry,1991,1,0,0,0,0.0,testset1,20000
5,2,poertry,poetry,370,1,0,0,0,0.0,testset1,20000
6,2,poertry,poetry,37,1,0,1,1,0.5,testset1,20000
7,2,poertry,poetry,7,1,1,1,1,1.0,testset1,20000
3,2,poetre,poetry,9228,1,1,1,1,1.0,testset1,20000
4,2,poetre,poetry,1445,1,1,1,1,1.0,testset1,20000
5,2,poetre,poetry,293,1,1,1,1,1.0,testset1,20000
6,2,poetre,poetry,47,1,0,0,0,0.0,testset1,20000
3,2,poety,poetry,9228,1,1,1,1,1.0,testset1,20000
4,2,poety,poetry,1445,1,1,1,1,1.0,testset1,20000
5,2,poety,poetry,107,1,1,1,1,1.0,testset1,20000
3,2,powetry,poetry,5421,1,0,0,0,0.0,testset1,20000
4,2,powetry,poetry,1285,1,0,0,0,0.0,testset1,20000
5,2,powetry,poetry,166,1,0,0,0,0.0,testset1,20000
6,2,powetry,poetry,36,1,0,0,0,0.0,testset1,20000
7,2,powetry,poetry,13,1,0,0,0,0.0,testset1,20000
3,2,leval,level,5294,1,1,1,1,1.0,testset1,20000
4,2,leval,level,1246,1,0,1,1,0.5,testset1,20000
5,2,leval,level,230,1,1,1,1,1.0,testset1,20000
3,2,basicaly,basically,8294,1,0,0,0,0.0,testset1,20000
4,2,basicaly,basically,1495,1,0,0,1,0.3333333333333333,testset1,20000
5,2,basicaly,basically,127,1,0,1,1,0.5,testset1,20000
6,2,basicaly,basically,25,1,1,1,1,1.0,testset1,20000
7,2,basicaly,basically,11,1,1,1,1,1.0,testset1,20000
3,2,unexpcted,unexpected,6622,1,0,0,1,0.3333333333333333,testset1,20000
4,2,unexpcted,unexpected,602,1,1,1,1,1.0,testset1,20000
5,2,unexpcted,unexpected,116,1,1,1,1,1.0,testset1,20000
6,2,unexpcted,unexpected,5,1,1,1,1,1.0,testset1,20000
7,2,unexpcted,unexpected,1,1,1,1,1,1.0,testset1,20000
3,2,unexpeted,unexpected,6622,1,0,0,1,0.3333333333333333,testset1,20000
4,2,unexpeted,unexpected,602,1,1,1,1,1.0,testset1,20000
5,2,unexpeted,unexpected,116,1,1,1,1,1.0,testset1,20000
6,2,unexpeted,unexpected,33,1,1,1,1,1.0,testset1,20000
7,2,unexpeted,unexpected,2,1,1,1,1,1.0,testset1,20000
3,2,unexspected,unexpected,6622,1,0,0,1,0.3333333333333333,testset1,20000
4,2,unexspected,unexpected,602,1,1,1,1,1.0,testset1,20000
5,2,unexspected,unexpected,71,1,0,0,0,0.0,testset1,20000
6,2,unexspected,unexpected,8,1,1,1,1,1.0,testset1,20000
7,2,unexspected,unexpected,3,1,1,1,1,1.0,testset1,20000
3,2,varable,variable,8477,1,0,0,1,0.3333333333333333,testset1,20000
4,2,varable,variable,1664,1,0,0,1,0.3333333333333333,testset1,20000
5,2,varable,variable,120,1,1,1,1,1.0,testset1,20000
6,2,varable,variable,20,1,1,1,1,1.0,testset1,20000
7,2,varable,variable,11,1,1,1,1,1.0,testset1,20000
3,2,futher,further,5085,1,0,0,0,0.0,testset1,20000
4,2,futher,further,603,1,0,1,1,0.5,testset1,20000
5,2,futher,further,172,1,0,1,1,0.5,testset1,20000
6,2,futher,further,95,1,1,1,1,1.0,testset1,20000
3,2,monitering,monitoring,6732,1,0,0,0,0.0,testset1,20000
4,2,monitering,monitoring,1476,1,0,1,1,0.5,testset1,20000
5,2,monitering,monitoring,382,1,0,1,1,0.5,testset1,20000
6,2,monitering,monitoring,74,1,0,0,0,0.0,testset1,20000
7,2,monitering,monitoring,20,1,0,0,0,0.0,testset1,20000
3,2,biscits,biscuits,6881,1,0,0,0,0.0,testset1,20000
4,2,biscits,biscuits,1018,1,1,1,1,1.0,testset1,20000
5,2,biscits,biscuits,174,1,0,0,0,0.0,testset1,20000
6,2,biscits,biscuits,15,1,1,1,1,1.0,testset1,20000
7,2,biscits,biscuits,3,1,1,1,1,1.0,testset1,20000
3,2,biscutes,biscuits,6881,1,0,0,0,0.0,testset1,20000
4,2,biscutes,biscuits,1018,1,1,1,1,1.0,testset1,20000
5,2,biscutes,biscuits,119,1,1,1,1,1.0,testset1,20000
6,2,biscutes,biscuits,12,1,0,1,1,0.5,testset1,20000
7,2,biscutes,biscuits,5,1,1,1,1,1.0,testset1,20000
3,2,biscuts,biscuits,6881,1,0,0,0,0.0,testset1,20000
4,2,biscuts,biscuits,1018,1,1,1,1,1.0,testset1,20000
5,2,biscuts,biscuits,119,1,1,1,1,1.0,testset1,20000
6,2,biscuts,biscuits,12,1,0,1,1,0.5,testset1,20000
7,2,biscuts,biscuits,8,1,0,1,1,0.5,testset1,20000
3,2,bisquits,biscuits,6881,1,0,0,0,0.0,testset1,20000
4,2,bisquits,biscuits,518,1,0,0,0,0.0,testset1,20000
5,2,bisquits,biscuits,63,1,0,0,0,0.0,testset1,20000
6,2,bisquits,biscuits,17,1,0,1,1,0.5,testset1,20000
7,2,bisquits,biscuits,4,1,1,1,1,1.0,testset1,20000
3,2,buiscits,biscuits,6251,1,0,0,0,0.0,testset1,20000
4,2,buiscits,biscuits,1122,1,0,0,0,0.0,testset1,20000
5,2,buiscits,biscuits,154,1,0,0,0,0.0,testset1,20000
6,2,buiscits,biscuits,17,1,0,0,0,0.0,testset1,20000
7,2,buiscits,biscuits,2,1,1,1,1,1.0,testset1,20000
3,2,buiscuts,biscuits,6251,1,0,0,0,0.0,testset1,20000
4,2,buiscuts,biscuits,1122,1,0,0,0,0.0,testset1,20000
5,2,buiscuts,biscuits,154,1,0,0,0,0.0,testset1,20000
6,2,buiscuts,biscuits,11,1,0,0,0,0.0,testset1,20000
7,2,buiscuts,biscuits,2,1,1,1,1,1.0,testset1,20000
3,2,avaible,available,6241,1,1,1,1,1.0,testset1,20000
4,2,avaible,available,937,1,1,1,1,1.0,testset1,20000
5,2,avaible,available,54,1,1,1,1,1.0,testset1,20000
6,2,avaible,available,9,1,1,1,1,1.0,testset1,20000
7,2,avaible,available,5,1,1,1,1,1.0,testset1,20000
3,2,seperate,separate,7668,1,0,0,1,0.3333333333333333,testset1,20000
4,2,seperate,separate,1722,1,0,0,0,0.0,testset1,20000
5,2,seperate,separate,580,1,0,0,0,0.0,testset1,20000
6,2,seperate,separate,102,1,0,1,1,0.5,testset1,20000
7,2,seperate,separate,46,1,0,1,1,0.5,testset1,20000
3,2,neccesary,necessary,7241,1,1,1,1,1.0,testset1,20000
4,2,neccesary,necessary,669,1,0,0,0,0.0,testset1,20000
5,2,neccesary,necessary,153,1,1,1,1,1.0,testset1,20000
6,2,neccesary,necessary,30,1,1,1,1,1.0,testset1,20000
7,2,neccesary,necessary,3,1,0,1,1,0.5,testset1,20000
3,2,necesary,necessary,7241,1,1,1,1,1.0,testset1,20000
4,2,necesary,necessary,1190,1,1,1,1,1.0,testset1,20000
5,2,necesary,necessary,131,1,1,1,1,1.0,testset1,20000
6,2,necesary,necessary,10,1,1,1,1,1.0,testset1,20000
7,2,necesary,necessary,3,1,1,1,1,1.0,testset1,20000
3,2,neccesary,necessary,7241,1,1,1,1,1.0,testset1,20000
4,2,neccesary,necessary,669,1,0,0,0,0.0,testset1,20000
5,2,neccesary,necessary,153,1,1,1,1,1.0,testset1,20000
6,2,neccesary,necessary,30,1,1,1,1,1.0,testset1,20000
7,2,neccesary,necessary,3,1,0,1,1,0.5,testset1,20000
3,2,necassary,necessary,7241,1,1,1,1,1.0,testset1,20000
4,2,necassary,necessary,1544,1,0,0,1,0.3333333333333333,testset1,20000
5,2,necassary,necessary,180,1,0,1,1,0.5,testset1,20000
6,2,necassary,necessary,16,1,1,1,1,1.0,testset1,20000
7,2,necassary,necessary,4,1,1,1,1,1.0,testset1,20000
3,2,necassery,necessary,7241,1,1,1,1,1.0,testset1,20000
4,2,necassery,necessary,1544,1,0,0,1,0.3333333333333333,testset1,20000
5,2,necassery,necessary,180,1,0,1,1,0.5,testset1,20000
6,2,necassery,necessary,16,1,1,1,1,1.0,testset1,20000
7,2,necassery,necessary,7,1,1,1,1,1.0,testset1,20000
3,2,neccasary,necessary,7241,1,1,1,1,1.0,testset1,20000
4,2,neccasary,necessary,669,1,0,0,0,0.0,testset1,20000
5,2,neccasary,necessary,87,1,0,0,0,0.0,testset1,20000
6,2,neccasary,necessary,12,1,1,1,1,1.0,testset1,20000
7,2,neccasary,necessary,3,1,1,1,1,1.0,testset1,20000
3,2,defenition,definition,5692,1,0,0,1,0.3333333333333333,testset1,20000
4,2,defenition,definition,1183,1,0,0,0,0.0,testset1,20000
5,2,defenition,definition,228,1,0,0,0,0.0,testset1,20000
6,2,defenition,definition,57,1,0,0,0,0.0,testset1,20000
7,2,defenition,definition,29,1,0,1,1,0.5,testset1,20000
3,2,receit,receipt,7702,1,0,0,0,0.0,testset1,20000
4,2,receit,receipt,1694,1,0,0,0,0.0,testset1,20000
5,2,receit,receipt,405,1,0,0,0,0.0,testset1,20000
6,2,receit,receipt,58,1,0,0,0,0.0,testset1,20000
3,2,receite,receipt,7702,1,0,0,0,0.0,testset1,20000
4,2,receite,receipt,1694,1,0,0,0,0.0,testset1,20000
5,2,receite,receipt,405,1,0,0,0,0.0,testset1,20000
6,2,receite,receipt,58,1,0,0,0,0.0,testset1,20000
7,2,receite,receipt,24,1,0,0,0,0.0,testset1,20000
3,2,reciet,receipt,7702,1,0,0,0,0.0,testset1,20000
4,2,reciet,receipt,1531,1,0,0,0,0.0,testset1,20000
5,2,reciet,receipt,433,1,0,0,0,0.0,testset1,20000
6,2,reciet,receipt,75,1,0,0,0,0.0,testset1,20000
3,2,recipt,receipt,7702,1,0,0,0,0.0,testset1,20000
4,2,recipt,receipt,1531,1,0,0,0,0.0,testset1,20000
5,2,recipt,receipt,292,1,0,0,0,0.0,testset1,20000
6,2,recipt,receipt,38,1,1,1,1,1.0,testset1,20000
3,2,remine,remind,6646,1,0,0,0,0.0,testset1,20000
4,2,remine,remind,1700,1,0,0,1,0.3333333333333333,testset1,20000
5,2,remine,remind,420,1,0,1,1,0.5,testset1,20000
6,2,remine,remind,117,1,0,0,0,0.0,testset1,20000
3,2,remined,remind,6646,1,0,0,0,0.0,testset1,20000
4,2,remined,remind,1700,1,0,0,1,0.3333333333333333,testset1,20000
5,2,remined,remind,420,1,0,1,1,0.5,testset1,20000
6,2,remined,remind,117,1,0,0,0,0.0,testset1,20000
7,2,remined,remind,26,1,0,0,0,0.0,testset1,20000
3,2,inetials,initials,7051,1,0,0,0,0.0,testset1,20000
4,2,inetials,initials,1207,1,0,0,0,0.0,testset1,20000
5,2,inetials,initials,393,1,0,0,0,0.0,testset1,20000
6,2,inetials,initials,62,1,0,0,0,0.0,testset1,20000
7,2,inetials,initials,21,1,0,0,0,0.0,testset1,20000
3,2,inistals,initials,4811,1,0,0,0,0.0,testset1,20000
4,2,inistals,initials,1129,1,0,0,0,0.0,testset1,20000
5,2,inistals,initials,384,1,0,0,0,0.0,testset1,20000
6,2,inistals,initials,79,1,0,0,0,0.0,testset1,20000
7,2,inistals,initials,20,1,0,0,0,0.0,testset1,20000
3,2,initails,initials,4811,1,0,0,0,0.0,testset1,20000
4,2,initails,initials,1073,1,0,0,0,0.0,testset1,20000
5,2,initails,initials,291,1,0,0,0,0.0,testset1,20000
6,2,initails,initials,50,1,0,0,0,0.0,testset1,20000
7,2,initails,initials,20,1,0,0,0,0.0,testset1,20000
3,2,initals,initials,4811,1,0,0,0,0.0,testset1,20000
4,2,initals,initials,1073,1,0,0,0,0.0,testset1,20000
5,2,initals,initials,291,1,0,0,0,0.0,testset1,20000
6,2,initals,initials,59,1,0,0,0,0.0,testset1,20000
7,2,initals,initials,15,1,0,0,0,0.0,testset1,20000
3,2,intials,initials,5000,1,0,0,0,0.0,testset1,20000
4,2,intials,initials,1136,1,0,0,0,0.0,testset1,20000
5,2,intials,initials,288,1,0,0,0,0.0,testset1,20000
6,2,intials,initials,52,1,0,0,0,0.0,testset1,20000
7,2,intials,initials,6,1,0,0,0,0.0,testset1,20000
3,2,magnificnet,magnificent,5941,1,0,0,0,0.0,testset1,20000
4,2,magnificnet,magnificent,1204,1,0,0,0,0.0,testset1,20000
5,2,magnificnet,magnificent,282,1,0,1,1,0.5,testset1,20000
6,2,magnificnet,magnificent,37,1,1,1,1,1.0,testset1,20000
7,2,magnificnet,magnificent,14,1,1,1,1,1.0,testset1,20000
